,year,sentence1,sentence2,score
1687,2015,"Ba cá nhân đang tạo dáng trên ván trượt phía sau một biển báo ""không trượt tuyết"".",Ba người trượt tuyết đang đứng đằng sau một tấm biển cấm trượt tuyết.,4.4
1688,2015,Một con chó đen trắng chạy qua một số cột đỏ và trắng một con chó đen trắng chạy qua một số cột đỏ và trắng,Con chó đen trắng trong phòng khách đứng trên hai chân sau.,1.6
1689,2015,Một đứa trẻ trượt xuống một tấm hình màu cam.,Một cậu bé mặc áo khoác denim trượt xuống một trang màu cam.,3.67
1690,2015,Những cậu bé chạy dọc theo vỉa hè.,Một con chó đen chạy dọc theo bờ biển.,0.5
1691,2015,Một con chó lắc nước.,Một con chó lắc nước.,5.0
1692,2015,Một đứa trẻ sơ sinh ngồi trên giường với tay chạm vào mặt của một cậu bé lớn hơn.,Một cậu bé có vẻ ốm yếu đang bị một đứa bé chạm vào mặt.,2.2
1693,2015,Một con chó trắng chạy qua cánh đồng hoa vàng.,Một con chó với cổ áo đỏ chạy trong rừng vào giữa mùa đông.,1.6
1694,2015,Một cô gái mặc đồ màu cam thắp nến.,Một cô gái mặc áo màu cam thắp nến.,4.0
1695,2015,Hai cô gái đang ngồi trước một bức tượng.,Hai cô gái tóc vàng đang ngồi cạnh một bức tượng. Hai cô gái tóc vàng đang ngồi cạnh một bức tượng.,3.8
1696,2015,Một con chó chạy qua một cánh đồng đuổi theo một quả bóng.,Một đứa trẻ chạy qua đám cỏ.,0.2
1697,2015,Một phụ nữ tóc vàng tạo dáng trắng cho máy ảnh.,Một con chó đen trắng chạy với cái miệng mở.,0.0
1698,2015,Hai con chó cùng một món đồ chơi trên cánh đồng cây cối.,Hai người trượt ván tuyết đang bay trên tuyết.,0.17
1699,2015,Một cô gái giơ cao một con thú bong bóng màu vàng.,Một đứa trẻ cầm một quả bóng màu vàng.,4.0
1700,2015,Một nhóm người ngồi quanh bàn làm việc.,Một nhóm các cô gái trên bãi biển.,0.6
1701,2015,Một con chó mặc áo len màu xanh lá cây và đeo ba lô đi bộ trên tuyết.,Một con chó nhỏ mặc áo len màu xanh lá cây và đeo ba lô đi bộ qua tuyết.,4.4
1702,2015,Con chó đen đang chạy trong tuyết.,Một tay đua xe đang lái xe của mình băng qua bùn.,0.0
1703,2015,Một con chó trắng chạy trong tuyết. Một con chó trắng chạy trong tuyết. Một con chó trắng chạy trong tuyết.,Mấy con chó đang chạy trên tuyết.,3.2
1704,2015,Một phụ nữ mặc áo xanh và quần đùi màu nâu vàng ngồi tại bàn.,Một cô gái trẻ tươi cười trong chiếc áo màu ngọc lam và khăn bandanna tạo dáng ở bàn ăn bên ngoài.,3.2
1705,2015,Một cậu bé đang chơi trên tuyết.,Con chó nâu trắng đang chơi trên tuyết.,1.6
1706,2015,Một con chó đang chạy trên tuyết.,Hai con chó chạy trong bùn Hai con chó chạy trong bùn,2.2
1707,2015,i hai con chó xích xuống phố,Một người đàn ông dắt hai con chó đi dạo trong thành phố.,4.2
1708,2015,Một người phụ nữ trong bộ đồ thể thao màu đỏ đang bóp những quả chanh trong máy ép.,Một cô gái trẻ mặc áo nỉ màu hồng chụp ảnh.,0.4
1709,2015,Một người đang cầm lưới đang đứng dưới nước.,Một phụ nữ da đen và hai đứa trẻ da đen đang ngồi trong một cái lều lợp tranh.,0.6
1710,2015,"Người phụ nữ tóc vàng đang đội một lá cờ Mỹ màu đen, đội mũ tartan.",Một phụ nữ tóc đỏ đang đội một chiếc mũ nồi màu đen trang trí với lá cờ Mỹ.,2.8
1711,2015,Một con chó nhỏ lông xoăn trắng chạy trên vỉa hè với một cái que trong miệng.,Một con chó lông trắng xoăn đang chạy với một cái que trong miệng.,4.6
1712,2015,Một con chó bơi trong nước.,Ba con chó bơi trong nước.,3.2
1713,2015,Một người đàn ông với túi đưa thư trước bức tường gạch màu xám.,Người mặc áo khoác đỏ đứng trước ngọn hải đăng.,0.8
1714,2015,Một người đàn ông đội mũ rơm lấy điện thoại của mình ra để che đi trong khi những người khác đi trên vỉa hè tấp nập người.,Một người đàn ông nằm trên đường với đầu và vai của mình dưới một chiếc xe đang đỗ được gắn jacked lên.,0.6
1715,2015,Một con chó đen trắng đang chạy qua một cánh đồng bò.,Một con chó đen trắng chạy trong nước biển. Một con chó đen trắng chạy trong nước biển.,2.2
1716,2015,Một chiếc xe đua màu đỏ và trắng đua trên đường đua đất.,Một người đang đạp xe địa hình trong cuộc đua trên đường đua địa hình.,1.4
1717,2015,Một bé gái giơ tay lên trời đang ngồi trên lưng một người đàn ông trong khi anh ta đang nằm trên một tấm chăn.,Một đứa trẻ chạy theo hướng ngược lại với những đứa khác đang chơi trò chơi.,0.2
1718,2015,Một con chó trắng chạy trên cát.,Một con chó trắng chạy trên cát.,5.0
1719,2015,Ba con chó đang chơi đùa dưới nước.,Ba con chó bơi trong nước.,4.2
1720,2015,Đứa trẻ trượt tuyết.,Người đàn ông ngủ trên đường.,0.0
1721,2015,Một bé gái mặc áo đỏ kéo diều.,Một cô gái mặc áo đỏ chụp ảnh trên điện thoại.,1.4
1722,2015,Một cô gái mặc áo hồng đang dang tay giữa không trung.,Một người đàn ông mặc bộ đồ Santa đang leo lên một tòa nhà bê tông lớn.,0.0
1723,2015,Hai cô bé chơi với những người và những bông hoa phía sau họ.,Hai cô gái trẻ mặc váy đang chơi trong vườn.,3.2
1724,2015,Hai người đội mũ ngồi nhìn vào máy quay.,Một người đàn ông mặc áo sơ mi xanh làm một khuôn mặt cáu kỉnh.,0.0
1725,2015,Chó nâu chạy trên cỏ.,Con chó đang chạy trên cỏ.,4.0
1726,2015,Một người đàn ông tóc dài đang nhìn qua camera.,Một người phụ nữ đứng dựa tường gần một máy quay video.,1.0
1727,2015,Một con chó đang chạy dọc theo bãi cỏ.,Một con chó nâu đang chạy trên cỏ.,4.2
1728,2015,Người phụ nữ cầm một chiếc ví đen đang hút thuốc lá.,Một người phụ nữ đeo túi đen đang hút thuốc lá. Một người phụ nữ với túi đen đang hút thuốc lá.,4.8
1729,2015,Hai cô gái đang nhảy cao trên không trung.,Hai con chó huýt sáo nhau trên bãi cỏ gần một cái hồ.,0.2
1730,2015,Hai bé gái đang chơi trên một tấm đệm lò xo.,Hai cậu bé đang chơi đùa trên sân chơi.,1.4
1731,2015,Một người đàn ông đang đứng trên đỉnh một tảng đá hay ngọn núi ngắm mặt trời lặn.,Một người đàn ông đứng trên núi ngắm hoàng hôn.,4.8
1732,2015,Một người đàn ông và một người phụ nữ đang mỉm cười.,Một người đàn ông và một người phụ nữ cười.,3.2
1733,2015,Một con chó đen bơi qua sông.,Một con chó đen đào tuyết.,1.2
1734,2015,Một người đàn ông đi xe máy trong khi mặc đồng phục màu đen.,Một chiếc xe máy màu trắng đang được đi quanh đường đua.,1.4
1735,2015,Người đàn ông mặc áo đỏ đang leo lên sườn núi.,Một người đàn ông đang leo lên sườn núi.,4.2
1736,2015,Người đàn ông đang lướt ván trên sóng.,Một người đàn ông mặc đồ đen trên ván lướt sóng đang lướt sóng.,4.0
1737,2015,Một con chó nâu trắng đang đi bên cạnh một người đàn ông trên ván trượt.,Một đứa trẻ tóc vàng đang nằm trên cành cây trên cánh đồng xanh.,0.0
1738,2015,"Một cô gái tuổi teen đang chạy trên bãi biển la hét, với một người đàn ông lớn tuổi đi sau cô.","Một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bờ biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc bãi biển, một đứa trẻ chạy dọc",1.8
1739,2015,Một cô gái chạy dọc bờ sông với hai con chó đen.,Một cậu bé đang vuốt ve một con hổ đang nằm.,0.2
1740,2015,Ba con chó bị hàng rào chặn lại trên tuyết.,Hai con chó uống nước trong hồ.,1.0
1741,2015,Một con chó đen chạy trong tuyết.,Một con chó đen chạy trên bãi biển.,1.8
1742,2015,Một cậu bé đang đạp xe.,Một bé gái nằm trên một chiếc phao bơm màu xanh. Một bé gái nằm trên một chiếc phao bơm màu xanh. Một bé gái nằm trên một chiếc phao bơm màu xanh. Một bé gái nằm trên một chiếc phao bơm màu xanh.,0.4
1743,2015,Một nhóm thiếu niên đang nhảy múa trên sàn gỗ.,Một nhóm người mặc đồ sẫm màu đang nhảy dây trên sàn gỗ.,3.4
1744,2015,Một con chó đen đang chạy trong tuyết.,Một con chó pit bull đen đang chạy trên mặt đất.,2.2
1745,2015,Một cậu bé mặc áo choàng tắm đang ngồi trên một chiếc ghế kim loại.,Một cậu bé mặc áo choàng ngồi trên ghế.,4.2
1746,2015,Một người phụ nữ với hai người đàn ông đội mũ đi giao lưu bên ngoài.,Một cô gái trẻ với chiếc mũ len đứng dựa vào tường của Domino's Pizza.,1.4
1747,2015,Một người trượt tuyết cưỡi ván trượt tuyết xuống lan can bên cạnh một dãy bậc thang.,Một cậu bé đang mài ván trượt xuống bức tường bê tông.,0.8
1748,2015,Một cô gái trẻ đang thực hiện một cú lật lưng trên nước.,Một cô gái trẻ mặc màu tím đang chạy trong nước. Một cô gái trẻ mặc màu tím đang chạy trong nước.,2.8
1749,2015,Một người trượt ván cố gắng thực hiện một thủ thuật ở một bên của một bức tường thấp.,Một cậu bé trượt ván trên lan can.,4.0
1750,2015,Hai con chó nâu đang cắn nhau.,Hai con chó nâu cắn nhau trên cát.,4.2
1751,2015,Một con chó nâu trắng có cổ áo hồng đang sủa một con chó nâu có cổ áo xanh trên tuyết.,Con chó có cổ đỏ đang đeo răng của nó vào con chó có cổ xanh.,3.4
1752,2015,Một con chó nhảy lấy đĩa Frisbee trong tuyết.,Một con chó đang nhảy trên tuyết.,3.2
1753,2015,Một người đàn ông mỉm cười và một bé gái đang chụp ảnh.,Một người đàn ông mỉm cười bế một đứa bé mặc đồ hồng và đỏ.,3.2
1754,2015,Một con chó đen chạy trốn trong tuyết.,Một người trượt ván nhảy trên đường.,0.0
1755,2015,Một cậu bé mặc áo đỏ chạy trên cỏ với một con chó lông lá.,Một fan thể thao đang bôi phấn lên mặt trên khán đài.,0.0
1756,2015,Một cậu bé chơi bóng chày.,Một người đàn ông đang chơi bóng chày.,3.0
1757,2015,Một con chó trắng và nâu đang chơi với một món đồ chơi màu đen.,Một con chó trắng và nâu đang chơi kéo co.,3.4
1758,2015,Hai cô gái mặc quần pyjama và dường như đang nhảy.,Hai cô gái đội mũ bóng chày đang ăn nhẹ bên ngoài.,0.6
1759,2015,Một người đàn ông đang leo lên đỉnh núi.,Một người đàn ông leo lên một vách đá dựng đứng.,4.8
1760,2015,Một ông già mặc áo khoác đen đứng giữa chợ.,Đứa bé mặc áo đỏ và đi bộ trong quảng trường.,1.2
1761,2015,Một người đàn ông mặc áo khoác màu cam đang chèo thuyền trên mặt nước xanh.,Một người đàn ông mặc áo khoác màu cam giơ tay lên trời trên cát.,1.8
1762,2015,Một đứa trẻ với hai tay trên đầu.,Một cậu bé đang đứng với hai tay đặt trên đầu. Một cậu bé đang đứng với hai tay đặt trên đầu.,4.2
1763,2015,Một người đàn ông đang quăng quật một vách đá dựng đứng bằng một sợi dây thừng.,Một thanh niên đang trượt tuyết nhảy xa với một tấm ván màu tím.,0.4
1764,2015,Một người đàn ông áo vàng đeo mặt nạ mặt trời vàng.,Một người đàn ông mặc áo vàng đeo một chiếc mặt nạ hình mặt trời màu vàng.,5.0
1765,2015,Một con chó có đầu trong một túi quà màu đỏ và xanh lá cây.,Một con thú cưng sẽ tinh nghịch điều tra nội dung của túi quà.,3.8
1766,2015,Một con chó đen trắng đang bơi trong bể Một con chó đen trắng đang bơi trong bể Một con chó đen trắng đang bơi trong bể,Một con chó đen trắng chạy với cái gì đó trong miệng.,2.0
1767,2015,Hai con chó chạy dọc bãi biển.,Hai con chó chạy trên bãi biển,4.8
1768,2015,Con chó đang chạy với thức ăn trong miệng.,Con chó đang chạy với một quả bóng vàng trong miệng.,2.2
1769,2015,Một cậu bé đang đứng trên một khu vực lát gạch màu xám.,Một cậu bé đang tập karate trong phòng tập.,1.0
1770,2015,Hai con chó trên bãi biển.,Một con chó đi dạo trên bãi biển.,2.4
1771,2015,Người phụ nữ đang dẫn một con chó vượt qua một chướng ngại vật.,Người phụ nữ dẫn chú chó nhỏ của mình vượt chướng ngại vật.,4.6
1772,2015,Một cô gái mặc bộ đồ ướt màu đen và xanh đang lướt sóng.,Một phụ nữ mặc bộ đồ sọc đen và xanh đang lướt sóng.,4.4
1773,2015,Người đàn ông đứng trên đỉnh những tảng đá lởm chởm gần đại dương.,Một người đàn ông đang đứng trên đỉnh những tảng đá nhìn ra đại dương.,4.6
1774,2015,Con chó đen trắng đang bơi trên sông.,Một người da đen và con chó của hắn trên bãi biển.,0.6
1775,2015,Một người phụ nữ đang cố gắng để đi trên một con sóng nhỏ.,Một người đàn ông và một người phụ nữ ngồi cạnh nhau ngoài trời nắng.,0.0
1776,2015,Một con chó chạy trên bãi cát,Một con chó chạy trên mặt nước.,2.8
1777,2015,Một con chó chạy xuyên qua cỏ.,Hai con chó chạy qua bụi cây.,2.8
1778,2015,Một người phụ nữ mặc áo sơ mi hồng nhảy lên không trung với tay và chân dang rộng hai bên.,Một người đàn ông đeo dây đeo quần và đeo kính râm nhảy lên không trung với cánh tay và chân dang rộng sang hai bên.,2.4
1779,2015,Hai con chó trắng đi trên tuyết.,Một con chó màu nâu với cổ áo đen sủa trong tuyết.,2.0
1780,2015,Một người đàn ông mặc quần bơi đang đứng dựa vào mấy tảng đá.,Một người đàn ông mặc áo xám leo lên một bức tường đá lớn.,1.0
1781,2015,Nhiều người chạy đua trên đường phố.,Một con cún chạy dọc con đường.,1.0
1782,2015,Cô gái đang chơi cùng với những hình ảnh trên màn hình lớn.,"Ba cô gái cầm ô, quay lưng lại máy quay.",0.4
1783,2015,"Một chú chó chạy qua rừng vào mùa đông, một con chó chạy trong rừng.",Một con chó chạy qua rất nhiều cành cây.,3.2
1784,2015,Một con chó nhảy xuống hồ bơi đuổi theo một con vịt.,Một con chó nhảy xuống hồ bơi.,3.4
1785,2015,Một con chó đen và nâu đi bộ qua tuyết gần một tòa nhà.,Một người đàn ông lớn tuổi đứng bên ngoài một tòa nhà cũ kỹ đã được đóng ván.,0.8
1786,2015,Ba con chó chạy trên đường đua.,Ba con chó vòng qua một khúc quanh ở một đường đua.,4.8
1787,2015,Người chèo thuyền.,rượt ván trượt một người đàn ông đang làm một người đàn ông trượt ván,0.0
1788,2015,"Một người đàn ông mặc quần soóc đỏ đang đi dọc theo những tảng đá bên bờ sông, tay cầm một cây gậy.",Một người đàn ông đang đi trên đá với dòng nước chảy xung quanh họ.,3.4
1789,2015,Một con chó chạy xuyên qua cỏ.,Một con chó chạy băng qua bãi cỏ.,4.8
1790,2015,Một chú chó vàng đang chạy trên cỏ.,Con chó màu be to lớn đang chạy băng qua bãi cỏ.,3.4
1791,2015,Hai con chó đang chơi đùa trong bụi bẩn.,Một vũ công tạo dáng cho máy ảnh trong một chiếc váy đỏ và trắng.,0.0
1792,2015,Một con chó đen đeo cổ màu cam bị vướng dây câu.,Con chó đen đeo cổ áo đỏ lắc nước ra.,1.8
1793,2015,Một người leo núi đang đứng trên mặt đá cạnh sợi dây màu hồng.,Bọn trẻ đang chạy trên tuyết với hàng rào ở đằng sau.,0.0
1794,2015,"Ba đứa trẻ chơi với cỏ khô ngoài trời, ném một ít vào ống kính máy ảnh.","Ba đứa trẻ chơi trong đám cỏ khô, ném một ít vào máy quay.",4.8
1795,2015,Một đứa bé đội mũ đỏ đang ngồi trong xe đẩy đang bế búp bê.,Một người đàn ông mặc áo xám ngồi trên cánh đồng hoa.,0.0
1796,2015,Ba con chó kéo một người đàn ông đi xe đạp qua tuyết.,"Những con chó đang kéo một người đàn ông trên một loại xe đạp, qua tuyết.",5.0
1797,2015,Một con chó nâu chạy trong bãi cỏ bẩn thỉu như một con chó nâu chạy trong bãi cỏ.,Con chó nâu to lớn đang chạy trên đất ngoài kia.,3.6
1798,2015,Một người đàn ông và một người phụ nữ nhìn vào máy quay.,Một người đàn ông và một người phụ nữ cười.,2.33
1799,2015,Một phụ nữ mặc váy đen đi trên phố.,Một người phụ nữ nhìn một con chó nhảy xuống cầu thang.,0.8
1800,2015,Hai con chó chơi đùa trong tuyết.,Hai con chó chơi đùa trong tuyết.,5.0
1801,2015,"Hai cậu bé, một đội mũ, đang chơi trong sân.",Một cậu bé đội mũ vàng đang ngồi gần dụng cụ chơi game cười.,2.4
1802,2015,Một nam và hai nữ mặc ma cà rồng. Một nam và hai nữ mặc ma cà rồng.,Một người đàn ông và hai phụ nữ mặc trang phục.,3.4
1803,2015,Hai giống chó nâu và trắng khác nhau chơi trên bãi biển.,Hai con chó đang chơi trên cát ở bãi biển.,4.0
1804,2015,Một vài người đang ngồi quanh đống lửa vào ban đêm.,Một nhóm người đang đứng và ngồi trên mặt đất vào ban đêm.,2.6
1805,2015,Một cậu bé vẫy một cây pháo.,Một cậu bé đang xoay cây pháo trong không trung.,4.4
1806,2015,Một nhóm thiếu niên nhảy múa trên bãi biển.,Một nhóm thanh niên nhảy lên không trung khi đang ở trên bãi biển.,4.8
1807,2015,Một nhóm bốn đứa trẻ nhảy múa ở sân sau.,Một nhóm trẻ em kéo giãn cơ trên thảm màu.,1.6
1808,2015,Một nhóm người đứng bên ngoài một toà nhà.,Một nhóm lớn người đã tạo thành một hàng bên ngoài.,3.2
1809,2015,Con chó trắng nhỏ có dây xích nhảy theo một quả bóng đỏ.,Một con chó đen trắng trả lại một cái que trong tuyết.,1.0
1810,2015,Hai con chó chạy qua bãi cỏ cao.,Hai con chó đang chạy qua một khu vực đầy cỏ.,4.6
1811,2015,Một người ngồi trên xe đạp của công ty.,Một người đàn ông trên xe đạp giữa không trung. Một người đàn ông trên xe đạp giữa không trung.,3.0
1812,2015,Một con chó đốm đen trắng nhảy qua một dòng suối.,Một con chó đốm đen trắng đang nhảy qua dòng nước nhỏ.,4.6
1813,2015,Hai người đàn ông ngồi trên vỉa hè trước cửa hàng.,Một phụ nữ trong bộ đồ tắm đi dạo với một chú chó trên bãi biển.,0.0
1814,2015,Một con chó đào cát.,Một con chó nâu đào cát.,4.2
1815,2015,Hai cô gái buộc tóc đuôi ngựa đi chơi trò chơi công viên giải trí.,Một cô gái trẻ đang đi chơi ở một công viên giải trí.,3.0
1816,2015,Một con chó đen đang đuổi theo một chiếc đĩa Frisbee màu đỏ.,Một con chó xù đen đang chạy trên tuyết.,1.4
1817,2015,Hai con chó nâu chạy trên cát cùng chạy trên cát. Hai con chó nâu chạy trên cát cùng chạy trên cát. Hai con chó nâu chạy trên cát cùng nhau. Hai con chó nâu chạy trên cát. Hai con chó nâu chạy trên cát. Hai con chó nâu chạy trên cát. Hai con chó nâu chạy trên cát. Hai con chó nâu chạy trên cát. Hai con chó nâu chạy trên cát. Hai con chó nâu chạy trên cát. Hai con chó nâu chạy trên cát. Hai con chó nâu chạy trên cát. Hai con chó nâu chạy trên cát. Hai con chó nâu chạy trên cát.,Hai con chó nâu đang chạy trên cát.,4.6
1818,2015,Bức ảnh trên cùng cho thấy hai người đàn ông đang nghỉ giải lao.,Một người đội mũ bơi và đeo kính bơi đang hít thở.,0.4
1819,2015,Người đàn ông đang đứng trên bờ đánh bóng bằng mái chèo.,Hai cô gái tuổi teen đang đứng bên bờ biển nghe nhạc ipod.,0.8
1820,2015,Một người trên xe trượt tuyết.,Một người nhảy trên xe trượt tuyết ở giữa chừng.,3.6
1821,2015,Một cậu bé đang đứng trước một đám cưới cười.,Một người đứng trên sân khấu trước đám đông đang ngồi,1.8
1822,2015,Một người đàn ông mặc áo sơ mi màu cam đội mũ bảo hiểm màu trắng đang đi xe đạp.,Người đội mũ bảo hiểm màu xanh đang lái một chiếc Polaris.,2.8
1823,2015,Một con chó nâu bị nước cuốn đi.,Một con chó bắn nước tung toé trong làn nước đục ngầu.,3.6
1824,2015,Hai người đàn ông vô gia cư đứng bên ngoài với một tấm biển.,Hai thanh niên vô gia cư cầm một tấm biển.,4.6
1825,2015,Một phụ nữ mặc đồ xanh lá đang chơi với chú chó màu nâu vàng.,Một chú chó màu nâu vàng liếm tay một cô gái khi đang nằm.,1.6
1826,2015,Một con chó đen đang chạy trong tuyết.,Một con chó đen đang bơi với quả bóng trong miệng.,1.8
1827,2015,Một con chó đen đi trên mặt nước.,Hai con chó đen đi trên tuyết.,2.4
1828,2015,Một người phụ nữ bế một con chó trong khi một con chó khác đứng gần đó trên cánh đồng.,Một người phụ nữ bế một con chó trong khi một con chó khác đang chơi đùa trong sân.,3.4
1829,2015,Một con chó trắng nhỏ và một con chó nâu lớn chơi trên cỏ.,Một con chó nhỏ màu nâu nhạt đang chạy qua một con chó nâu lớn đang đứng trên cỏ.,3.4
1830,2015,Một con chó nâu đang chạy qua đám cỏ xanh.,Một con chó nâu đang chạy qua sông.,2.4
1831,2015,Một người đàn ông đang đứng trên một chiếc xe đạp trên một con đường đá bên hồ.,"Một phụ nữ đang đeo băng đô trắng, áo ba lỗ màu tím và găng tay đen.",0.0
1832,2015,Một vận động viên bơi lội đang làm một cú sượt lưng trong hồ bơi.,Một người bơi ngửa trong bể bơi,4.8
1833,2015,Một con chó trắng và xám lớn chạy qua đường hầm màu vàng trong một cuộc chạy vượt chướng ngại vật.,Một con chó trắng và đen đang hết ống vàng và cam.,3.6
1834,2015,Ba đứa trẻ trong một hố bóng.,Vài đứa trẻ chơi trong một hố bóng.,3.4
1835,2015,Một con chó đen và vàng.,Một con chó đen và một con chó nâu trắng chơi đùa trên một cánh đồng.,2.2
1836,2015,Một cô gái với một cái ví đen ngồi trên một chiếc ghế gỗ.,Một phụ nữ trẻ với một chiếc ví đen ngồi trên một chiếc ghế gỗ.,4.6
1837,2015,Một con chó nhảy qua xích.,Một con chó nhảy qua dây xích.,5.0
1838,2015,Hai con chó đen đang chơi đùa trong tuyết.,Một con chó đen đào bới trong tuyết.,3.4
1839,2015,Con chó đen đang đi trên đám cỏ cao.,Con chó đen đang chạy trên cỏ.,3.8
1840,2015,Hai cầu thủ bóng đá đấu tranh giành bóng trong một trận đấu căng thẳng.,Hai chú chó nhỏ màu da cam và trắng đang nằm trên tuyết.,0.0
1841,2015,Một cậu bé đẩy một chiếc xe với hai quả bí ngô.,Một đứa trẻ ngồi xổm sau một chiếc xe kéo có hai quả bí ngô.,2.8
1842,2015,Bốn đứa trẻ nắm tay nhau nhảy xuống hồ bơi.,Bốn con chó đang chơi trên tuyết.,0.0
1843,2015,Những chú hề đang tạo dáng trước ống kính.,Một đứa trẻ mặc đồ màu cam đang ở trên một con sóng trên một con sóng.,0.6
1844,2015,Một cậu bé nhảy xuống một hồ bơi công cộng không quá chật chội.,Một người đàn ông nhảy khi đang trượt tuyết.,0.8
1845,2015,Một người đàn ông mặc áo khoác đỏ cầm xe đạp đi chụp hình.,Một phụ nữ mặc áo khoác đỏ đang quay phim cảnh thiên nhiên.,0.4
1846,2015,Một cô gái mặc đồ xanh lục vặn xoắn thứ gì đó trong tay.,Một cậu bé mặc quần soóc màu xanh lá cây tạo dáng vụng về với nền gạch.,0.8
1847,2015,Một người đàn ông cởi trần chơi bóng đá trên bãi cỏ.,Một người áo trắng bắt bóng đá,4.4
1848,2015,Một người phụ nữ với một cô gái trẻ đứng với tượng gấu trước cửa hàng.,Một người đàn ông mặc áo khoác đứng trước một đám đông lớn.,0.6
1849,2015,Hai con cái nhảy khỏi xích đu.,Hai cô gái nhảy ra khỏi xích đu.,4.6
1850,2015,Con chó trả lại món đồ chơi cho chủ của nó.,Ba con chó cùng chạy đua trong tuyết.,1.0
1851,2015,Một con chó nhảy lên không trung để bắt một chiếc đĩa Frisbee.,Con chó nâu nhảy lên tìm một chiếc đĩa Frisbee màu hồng.,4.0
1852,2015,Một người đang ở ngoài biển dưới nước trong khi mặt trời lặn.,Một người trên ván trượt của họ trên mặt nước.,3.0
1853,2015,Một cô gái nhảy dây trên vỉa hè gần bãi đỗ xe.,Một cô gái nhảy dây trên vỉa hè với một bãi đậu xe ở bên trái.,4.4
1854,2015,Người thanh niên đang trượt ván tại một công viên trượt ván.,Một cậu bé mặc áo phông xanh đang bay trên ván trượt ở công viên trượt ván.,3.8
